W,cos th,t,dsigdcosth (mu barn),dsigdcosth error (mu barn),dsigdt (mu barn/GeV^2),dsigdt error (mu barn/GeV^2),source
2.025,-0.68,-0.912878625,0.0654,0.0331,0.159037078,0.080491243,CLAS phi
2.025,-0.6,-0.879980636,0.0455,0.0091,0.110645062,0.022129012,CLAS phi
2.025,-0.5,-0.83885815,0.0338,0.007,0.082193475,0.017022317,CLAS phi
2.025,-0.4,-0.797735664,0.0462,0.0078,0.112347294,0.018967725,CLAS phi
2.025,-0.3,-0.756613179,0.0416,0.0066,0.1011612,0.016049613,CLAS phi
2.025,-0.2,-0.715490693,0.0515,0.0075,0.12523562,0.018238197,CLAS phi
2.025,-0.1,-0.674368207,0.0485,0.0065,0.117940341,0.015806437,CLAS phi
2.025,0,-0.633245721,0.0553,0.0069,0.134476306,0.016779141,CLAS phi
2.025,0.1,-0.592123235,0.0516,0.0063,0.125478796,0.015320086,CLAS phi
2.025,0.2,-0.55100075,0.0597,0.0068,0.145176049,0.016535965,CLAS phi
2.025,0.3,-0.509878264,0.0698,0.0068,0.169736821,0.016535965,CLAS phi
2.035,0.37,-0.489189891,0.0881,0.0111,0.198130229,0.024963059,CLAS phi
2.035,0.42,-0.466957039,0.0874,0.0112,0.196555982,0.025187952,CLAS phi
2.035,0.47,-0.444724188,0.1139,0.0125,0.256152475,0.028111553,CLAS phi
2.035,0.53,-0.418044766,0.1069,0.0119,0.240410005,0.026762199,CLAS phi
2.035,0.57,-0.400258484,0.1178,0.0129,0.26492328,0.029011123,CLAS phi
2.035,0.62,-0.378025632,0.1235,0.0131,0.277742148,0.029460908,CLAS phi
2.035,0.67,-0.355792781,0.1249,0.0129,0.280890642,0.029011123,CLAS phi
2.035,0.72,-0.333559929,0.1513,0.0146,0.340262243,0.032834294,CLAS phi
2.035,0.78,-0.306880507,0.1936,0.018,0.43539174,0.040480637,CLAS phi
2.035,0.82,-0.289094226,0.2521,0.0223,0.56695381,0.050151011,CLAS phi
2.035,0.88,-0.262414804,0.2197,0.022,0.494088664,0.049476334,CLAS phi
2.035,0.93,-0.240181952,0.2723,0.0309,0.612382081,0.06949176,CLAS phi
2.035,-0.69,-0.960526348,0.0347,0.015,0.078037672,0.033733864,CLAS phi
2.035,-0.6,-0.920507215,0.0564,0.0106,0.126839329,0.023838597,CLAS phi
2.035,-0.5,-0.876041511,0.0477,0.0086,0.107273688,0.019340749,CLAS phi
2.035,-0.4,-0.831575808,0.0545,0.008,0.122566373,0.017991394,CLAS phi
2.035,-0.3,-0.787110104,0.0575,0.0081,0.129313146,0.018216287,CLAS phi
2.035,-0.2,-0.742644401,0.0577,0.0084,0.129762931,0.018890964,CLAS phi
2.035,-0.1,-0.698178697,0.0438,0.0068,0.098502883,0.015292685,CLAS phi
2.035,0,-0.653712994,0.0551,0.0073,0.123915728,0.016417147,CLAS phi
2.035,0.1,-0.60924729,0.0643,0.008,0.144605831,0.017991394,CLAS phi
2.035,0.2,-0.564781587,0.076,0.008,0.170918245,0.017991394,CLAS phi
2.035,0.3,-0.520315884,0.0773,0.008,0.173841847,0.017991394,CLAS phi
2.045,0.37,-0.497888311,0.0859,0.012,0.180186455,0.025171565,CLAS phi
2.045,0.42,-0.474051891,0.0888,0.0114,0.186269583,0.023912987,CLAS phi
2.045,0.47,-0.450215471,0.0934,0.0114,0.195918683,0.023912987,CLAS phi
2.045,0.53,-0.421611767,0.1209,0.0143,0.25360352,0.029996115,CLAS phi
2.045,0.57,-0.402542631,0.1286,0.0142,0.269755274,0.029786352,CLAS phi
2.045,0.62,-0.378706211,0.1351,0.0154,0.283389872,0.032303509,CLAS phi
2.045,0.67,-0.354869791,0.1638,0.0168,0.343591866,0.035240191,CLAS phi
2.045,0.72,-0.331033372,0.1963,0.0195,0.411764855,0.040903794,CLAS phi
2.045,0.78,-0.302429668,0.2089,0.0214,0.438194998,0.044889291,CLAS phi
2.045,0.82,-0.283360532,0.2192,0.0229,0.459800592,0.048035737,CLAS phi
2.045,0.88,-0.254756828,0.2791,0.0301,0.585448655,0.063138676,CLAS phi
2.045,0.93,-0.230920408,0.2872,0.0327,0.602439462,0.068592515,CLAS phi
2.045,-0.7,-1.007987698,0.0677,0.0173,0.142009581,0.036289007,CLAS phi
2.045,-0.6,-0.960314858,0.0461,0.0099,0.096700763,0.020766541,CLAS phi
2.045,-0.5,-0.912642018,0.0575,0.0102,0.12061375,0.02139583,CLAS phi
2.045,-0.4,-0.864969178,0.0508,0.0084,0.106559626,0.017620096,CLAS phi
2.045,-0.3,-0.817296338,0.062,0.0093,0.130053087,0.019507963,CLAS phi
2.045,-0.2,-0.769623498,0.0573,0.0088,0.120194224,0.018459148,CLAS phi
2.045,-0.1,-0.721950659,0.0582,0.0086,0.122082091,0.018039622,CLAS phi
2.045,0,-0.674277819,0.0542,0.0078,0.11369157,0.016361517,CLAS phi
2.045,0.1,-0.626604979,0.0512,0.0079,0.107398678,0.01657128,CLAS phi
2.045,0.2,-0.578932139,0.0627,0.0077,0.131521428,0.016151754,CLAS phi
2.045,0.3,-0.531259299,0.0713,0.0077,0.14956105,0.016151754,CLAS phi
2.055,0.37,-0.507087743,0.1067,0.0121,0.210159566,0.023832528,CLAS phi
2.055,0.42,-0.48170227,0.1051,0.0119,0.207008157,0.023438602,CLAS phi
2.055,0.47,-0.456316796,0.1174,0.0127,0.231234612,0.025014306,CLAS phi
2.055,0.53,-0.425854229,0.1231,0.0133,0.242461505,0.026196085,CLAS phi
2.055,0.57,-0.40554585,0.1319,0.0139,0.259794253,0.027377863,CLAS phi
2.055,0.62,-0.380160377,0.1403,0.0147,0.276339148,0.028953567,CLAS phi
2.055,0.67,-0.354774904,0.179,0.0182,0.352563846,0.035847274,CLAS phi
2.055,0.72,-0.329389431,0.2074,0.0201,0.40850135,0.039589571,CLAS phi
2.055,0.78,-0.298926864,0.2496,0.0242,0.491619753,0.047665056,CLAS phi
2.055,0.82,-0.278618485,0.2147,0.0238,0.422879652,0.046877204,CLAS phi
2.055,0.88,-0.248155918,0.3385,0.0316,0.666719898,0.062240321,CLAS phi
2.055,0.93,-0.222770444,0.2954,0.0337,0.581828827,0.066376545,CLAS phi
2.055,-0.6,-0.99956592,0.0566,0.0105,0.111481082,0.020681119,CLAS phi
2.055,-0.5,-0.948794974,0.0636,0.01,0.125268495,0.019696304,CLAS phi
2.055,-0.4,-0.898024027,0.0642,0.0091,0.126450273,0.017923637,CLAS phi
2.055,-0.3,-0.847253081,0.0593,0.0088,0.116799084,0.017332748,CLAS phi
2.055,-0.2,-0.796482135,0.0528,0.008,0.103996486,0.015757043,CLAS phi
2.055,-0.1,-0.745711189,0.0662,0.0089,0.130389534,0.017529711,CLAS phi
2.055,0,-0.694940243,0.057,0.0073,0.112268934,0.014378302,CLAS phi
2.055,0.1,-0.644169297,0.0672,0.0077,0.132359164,0.015166154,CLAS phi
2.055,0.2,-0.593398351,0.0764,0.0076,0.150479764,0.014969191,CLAS phi
2.055,0.3,-0.542627405,0.0928,0.0082,0.182781703,0.016150969,CLAS phi
2.065,0.37,-0.516714098,0.1086,0.0127,0.201933586,0.023614701,CLAS phi
2.065,0.42,-0.489824069,0.1302,0.0145,0.242097172,0.026961667,CLAS phi
2.065,0.47,-0.46293404,0.14,0.0149,0.26031954,0.027705437,CLAS phi
2.065,0.53,-0.430666005,0.1431,0.015,0.266083758,0.027891379,CLAS phi
2.065,0.57,-0.409153982,0.1536,0.0158,0.285607724,0.029378919,CLAS phi
2.065,0.62,-0.382263953,0.1492,0.0159,0.277426252,0.029564862,CLAS phi
2.065,0.67,-0.355373923,0.1733,0.0179,0.322238402,0.033283713,CLAS phi
2.065,0.72,-0.328483894,0.2099,0.0214,0.390293367,0.039791701,CLAS phi
2.065,0.78,-0.296215859,0.2367,0.0229,0.440125965,0.042580839,CLAS phi
2.065,0.82,-0.274703836,0.2715,0.0264,0.504833964,0.049088827,CLAS phi
2.065,0.88,-0.242435801,0.313,0.0295,0.582000114,0.054853046,CLAS phi
2.065,0.93,-0.215545772,0.3404,0.0375,0.632948366,0.069728448,CLAS phi
2.065,-0.76,-1.124428756,0.0323,0.0257,0.060059437,0.04778723,CLAS phi
2.065,-0.7,-1.092160721,0.0533,0.0116,0.099107368,0.021569333,CLAS phi
2.065,-0.6,-1.038380663,0.0484,0.0099,0.089996184,0.01840831,CLAS phi
2.065,-0.5,-0.984600605,0.0487,0.009,0.090554011,0.016734828,CLAS phi
2.065,-0.4,-0.930820547,0.0552,0.0086,0.102640276,0.015991057,CLAS phi
2.065,-0.3,-0.877040488,0.0536,0.0079,0.099665195,0.01468946,CLAS phi
2.065,-0.2,-0.82326043,0.053,0.0076,0.09854954,0.014131632,CLAS phi
2.065,-0.1,-0.769480372,0.0665,0.0086,0.123651781,0.015991057,CLAS phi
2.065,0,-0.715700314,0.0659,0.0083,0.122536126,0.01543323,CLAS phi
2.065,0.1,-0.661920255,0.0725,0.0081,0.134808333,0.015061345,CLAS phi
2.065,0.2,-0.608140197,0.0784,0.0079,0.145778942,0.01468946,CLAS phi
2.065,0.3,-0.554360139,0.0905,0.0081,0.168277988,0.015061345,CLAS phi
2.075,0.37,-0.526710815,0.1066,0.012,0.187955754,0.021158246,CLAS phi
2.075,0.42,-0.498353077,0.1251,0.013,0.220574716,0.022921433,CLAS phi
2.075,0.47,-0.469995339,0.1287,0.0136,0.22692219,0.023979346,CLAS phi
2.075,0.53,-0.435966054,0.138,0.0197,0.243319831,0.034734787,CLAS phi
2.075,0.57,-0.413279863,0.1689,0.017,0.297802315,0.029974182,CLAS phi
2.075,0.62,-0.384922125,0.1824,0.0177,0.321605342,0.031208413,CLAS phi
2.075,0.67,-0.356564387,0.2136,0.0195,0.376616782,0.03438215,CLAS phi
2.075,0.72,-0.328206649,0.2525,0.0226,0.445204763,0.03984803,CLAS phi
2.075,0.78,-0.294177364,0.2796,0.0237,0.492987136,0.041787536,CLAS phi
2.075,0.82,-0.271491174,0.3172,0.0273,0.559282974,0.04813501,CLAS phi
2.075,0.88,-0.237461888,0.3402,0.0293,0.599836279,0.051661384,CLAS phi
2.075,0.93,-0.20910415,0.4352,0.0408,0.767339062,0.071938037,CLAS phi
2.075,-0.77,-1.173267239,0.039,0.0219,0.0687643,0.038613799,CLAS phi
2.075,-0.7,-1.133566406,0.0591,0.0133,0.104204362,0.02345039,CLAS phi
2.075,-0.6,-1.07685093,0.0569,0.0102,0.100325351,0.017984509,CLAS phi
2.075,-0.5,-1.020135455,0.0518,0.0092,0.091333096,0.016221322,CLAS phi
2.075,-0.4,-0.963419979,0.0514,0.0084,0.090627821,0.014810772,CLAS phi
2.075,-0.3,-0.906704503,0.059,0.0083,0.104028044,0.014634454,CLAS phi
2.075,-0.2,-0.849989027,0.0531,0.0078,0.093625239,0.01375286,CLAS phi
2.075,-0.1,-0.793273551,0.0524,0.0072,0.092391008,0.012694948,CLAS phi
2.075,0,-0.736558075,0.0633,0.0076,0.111609749,0.013400223,CLAS phi
2.075,0.1,-0.6798426,0.0699,0.0078,0.123246784,0.01375286,CLAS phi
2.075,0.2,-0.623127124,0.0836,0.0083,0.147402448,0.014634454,CLAS phi
2.075,0.3,-0.566411648,0.0954,0.0085,0.168208057,0.014987091,CLAS phi
2.085,0.37,-0.537033634,0.1275,0.0142,0.213965045,0.023829832,CLAS phi
2.085,0.42,-0.507239047,0.1467,0.0153,0.246185663,0.025675805,CLAS phi
2.085,0.47,-0.477444461,0.1565,0.0166,0.262631604,0.02785741,CLAS phi
2.085,0.53,-0.441690957,0.1674,0.0166,0.280923517,0.02785741,CLAS phi
2.085,0.57,-0.417855288,0.2021,0.0192,0.339155573,0.032220618,CLAS phi
2.085,0.62,-0.388060702,0.2246,0.0214,0.37691411,0.035912564,CLAS phi
2.085,0.67,-0.358266115,0.2454,0.0215,0.41181978,0.03608038,CLAS phi
2.085,0.72,-0.328471529,0.2717,0.0226,0.455955315,0.037926353,CLAS phi
2.085,0.78,-0.292718025,0.3099,0.0251,0.52006092,0.042121746,CLAS phi
2.085,0.82,-0.268882356,0.3592,0.0288,0.602794071,0.048330928,CLAS phi
2.085,0.88,-0.233128853,0.3641,0.0327,0.611017041,0.054875741,CLAS phi
2.085,0.93,-0.203334266,0.5715,0.0504,0.959066847,0.084579124,CLAS phi
2.085,-0.77,-1.216350203,0.0251,0.0166,0.042121746,0.02785741,CLAS phi
2.085,-0.7,-1.174637782,0.0625,0.0113,0.104884826,0.018963177,CLAS phi
2.085,-0.6,-1.115048609,0.0678,0.011,0.113779059,0.018459729,CLAS phi
2.085,-0.5,-1.055459436,0.056,0.0096,0.093976804,0.016110309,CLAS phi
2.085,-0.4,-0.995870264,0.0673,0.0098,0.11293998,0.016445941,CLAS phi
2.085,-0.3,-0.936281091,0.0607,0.0087,0.101864143,0.014599968,CLAS phi
2.085,-0.2,-0.876691918,0.0549,0.0082,0.092130831,0.013760889,CLAS phi
2.085,-0.1,-0.817102745,0.0692,0.0093,0.116128479,0.015606862,CLAS phi
2.085,0,-0.757513573,0.0733,0.0093,0.123008924,0.015606862,CLAS phi
2.085,0.1,-0.6979244,0.0835,0.0088,0.140126127,0.014767783,CLAS phi
2.085,0.2,-0.638335227,0.086,0.0083,0.14432152,0.013928705,CLAS phi
2.085,0.3,-0.578746055,0.1122,0.0097,0.188289239,0.016278125,CLAS phi
2.095,0.37,-0.547647213,0.1106,0.0131,0.177213167,0.020989986,CLAS phi
2.095,0.42,-0.516441857,0.1453,0.0149,0.232812597,0.023874107,CLAS phi
2.095,0.47,-0.485236501,0.153,0.0153,0.245150223,0.024515022,CLAS phi
2.095,0.53,-0.447790074,0.1837,0.0167,0.294340496,0.026758227,CLAS phi
2.095,0.57,-0.422825789,0.1883,0.0167,0.301711026,0.026758227,CLAS phi
2.095,0.62,-0.391620433,0.2491,0.0209,0.399130199,0.033487841,CLAS phi
2.095,0.67,-0.360415076,0.2904,0.0224,0.465304736,0.035891274,CLAS phi
2.095,0.72,-0.32920972,0.3178,0.0238,0.509207456,0.038134479,CLAS phi
2.095,0.78,-0.291763293,0.3531,0.0266,0.565768259,0.042620888,CLAS phi
2.095,0.82,-0.266799008,0.4283,0.0324,0.686260394,0.051914165,CLAS phi
2.095,0.88,-0.229352581,0.4165,0.0333,0.667353384,0.053356225,CLAS phi
2.095,0.93,-0.198147225,0.5926,0.0518,0.949516483,0.082998572,CLAS phi
2.095,-0.78,-1.265370404,0.0493,0.0464,0.078992849,0.074346211,CLAS phi
2.095,-0.7,-1.215441834,0.0357,0.0079,0.057201719,0.012658083,CLAS phi
2.095,-0.6,-1.153031122,0.0495,0.0092,0.079313307,0.014741059,CLAS phi
2.095,-0.5,-1.09062041,0.0764,0.0116,0.122414882,0.018586553,CLAS phi
2.095,-0.4,-1.028209698,0.0696,0.0097,0.111519317,0.015542204,CLAS phi
2.095,-0.3,-0.965798985,0.0723,0.0092,0.115845497,0.014741059,CLAS phi
2.095,-0.2,-0.903388273,0.0621,0.008,0.099502149,0.012818312,CLAS phi
2.095,-0.1,-0.840977561,0.0686,0.0082,0.109917028,0.01313877,CLAS phi
2.095,0,-0.778566849,0.075,0.0083,0.120171678,0.013298999,CLAS phi
2.095,0.1,-0.716156136,0.0826,0.0085,0.132349074,0.013619457,CLAS phi
2.095,0.2,-0.653745424,0.0795,0.0079,0.127381978,0.012658083,CLAS phi
2.095,0.3,-0.591334712,0.1058,0.009,0.16952218,0.014420601,CLAS phi
2.105,0.37,-0.558522849,0.1202,0.0132,0.18439015,0.020249168,CLAS phi
2.105,0.42,-0.525928917,0.116,0.0127,0.177947233,0.019482154,CLAS phi
2.105,0.47,-0.493334985,0.1431,0.0151,0.219519388,0.023163821,CLAS phi
2.105,0.53,-0.454222266,0.1737,0.0166,0.266460641,0.025464863,CLAS phi
2.105,0.57,-0.428147121,0.2061,0.0181,0.316163144,0.027765904,CLAS phi
2.105,0.62,-0.395553189,0.2483,0.019,0.38089912,0.02914653,CLAS phi
2.105,0.67,-0.362959257,0.2594,0.02,0.397926829,0.030680557,CLAS phi
2.105,0.72,-0.330365325,0.3137,0.0241,0.481224542,0.036970072,CLAS phi
2.105,0.78,-0.291252607,0.3543,0.0268,0.543506074,0.041111947,CLAS phi
2.105,0.82,-0.265177461,0.3725,0.0302,0.571425381,0.046327642,CLAS phi
2.105,0.88,-0.226064743,0.4832,0.0398,0.741242266,0.061054309,CLAS phi
2.105,0.93,-0.193470811,0.6419,0.0556,0.984692489,0.08529195,CLAS phi
2.105,-0.78,-1.308183284,0.0617,0.0183,0.09464952,0.02807271,CLAS phi
2.105,-0.7,-1.256032993,0.0516,0.0091,0.079155838,0.013959654,CLAS phi
2.105,-0.6,-1.190845129,0.0665,0.0097,0.102012853,0.01488007,CLAS phi
2.105,-0.5,-1.125657265,0.0634,0.009,0.097257367,0.013806251,CLAS phi
2.105,-0.4,-1.060469401,0.0679,0.0088,0.104160492,0.013499445,CLAS phi
2.105,-0.3,-0.995281537,0.0589,0.0079,0.090354241,0.01211882,CLAS phi
2.105,-0.2,-0.930093673,0.0569,0.0076,0.087286186,0.011658612,CLAS phi
2.105,-0.1,-0.864905809,0.0635,0.008,0.09741077,0.012272223,CLAS phi
2.105,0,-0.799717945,0.0666,0.0081,0.102166256,0.012425626,CLAS phi
2.105,0.1,-0.734530081,0.0713,0.0078,0.109376187,0.011965417,CLAS phi
2.105,0.2,-0.669342217,0.0817,0.0078,0.125330077,0.011965417,CLAS phi
2.105,0.3,-0.604154353,0.1014,0.0086,0.155550426,0.01319264,CLAS phi
2.115,0.37,-0.569636884,0.1263,0.014,0.185934812,0.020610351,CLAS phi
2.115,0.42,-0.535673368,0.1265,0.0137,0.186229246,0.020168701,CLAS phi
2.115,0.47,-0.501709852,0.1628,0.0166,0.239668943,0.024437988,CLAS phi
2.115,0.53,-0.460953633,0.1755,0.0169,0.258365476,0.024879638,CLAS phi
2.115,0.57,-0.43378282,0.2204,0.019,0.324465817,0.027971191,CLAS phi
2.115,0.62,-0.399819304,0.2373,0.0197,0.349345455,0.029001709,CLAS phi
2.115,0.67,-0.365855788,0.2529,0.0207,0.372311275,0.030473877,CLAS phi
2.115,0.72,-0.331892271,0.3128,0.0252,0.460494136,0.037098632,CLAS phi
2.115,0.78,-0.291136052,0.3535,0.0286,0.520411371,0.042104003,CLAS phi
2.115,0.82,-0.263965239,0.4156,0.0327,0.611833001,0.048139892,CLAS phi
2.115,0.88,-0.22320902,0.4983,0.039,0.733581291,0.05741455,CLAS phi
2.115,0.93,-0.189245504,0.701,0.061,1.031989735,0.089802245,CLAS phi
2.115,-0.78,-1.350797755,0.0571,0.0203,0.08406079,0.029885009,CLAS phi
2.115,-0.7,-1.29645613,0.0668,0.0105,0.098340819,0.015457764,CLAS phi
2.115,-0.6,-1.228529097,0.0646,0.0101,0.09510205,0.014868896,CLAS phi
2.115,-0.5,-1.160602065,0.0628,0.0104,0.092452147,0.015310547,CLAS phi
2.115,-0.4,-1.092675033,0.0582,0.0097,0.085680175,0.014280029,CLAS phi
2.115,-0.3,-1.024748001,0.0726,0.0089,0.106879393,0.013102295,CLAS phi
2.115,-0.2,-0.956820968,0.0618,0.008,0.090979979,0.011777344,CLAS phi
2.115,-0.1,-0.888893936,0.0684,0.0086,0.100696288,0.012660644,CLAS phi
2.115,0,-0.820966904,0.0593,0.0078,0.08729956,0.01148291,CLAS phi
2.115,0.1,-0.753039872,0.0662,0.0086,0.097457518,0.012660644,CLAS phi
